subject,x,y,z
1,-24,0,-46
1,-32,2,-50
1,-42,4,-50
1,-50,6,-46
1,-54,10,-38
1,-32,-8,-48
1,-42,-6,-50
1,-52,-2,-46
1,-60,2,-36
1,-34,-16,-40
1,-44,-14,-42
1,-54,-12,-40
1,-62,-8,-34
1,-28,-26,-32
1,-36,-24,-32
1,-46,-22,-36
1,-56,-20,-36
1,-64,-16,-30
2,-16,0,-32
2,-20,0,-42
2,-30,4,-48
2,-40,8,-48
2,-48,14,-44
2,-24,-10,-38
2,-32,-8,-46
2,-42,-4,-48
2,-52,2,-44
2,-26,-20,-32
2,-34,-18,-38
2,-44,-14,-42
2,-54,-8,-42
2,-20,-34,-22
2,-28,-30,-26
2,-36,-26,-32
2,-46,-22,-36
2,-56,-16,-38
3,-32,-10,-48
3,-40,-6,-50
3,-48,2,-46
3,-54,8,-42
3,-40,-14,-46
3,-50,-8,-46
3,-56,0,-38
3,NaN,NaN,NaN
3,-34,-24,-34
3,-44,-20,-38
3,-54,-14,-40
3,-60,-8,-34
3,NaN,NaN,NaN
3,-38,-34,-32
3,-48,-26,-32
3,-58,-22,-34
3,-66,-16,-30
3,NaN,NaN,NaN
3,-42,-42,-30
3,-52,-36,-30
3,-62,-32,-30
3,-68,-26,-26
3,NaN,NaN,NaN
4,-24,14,-42
4,-32,12,-44
4,-40,16,-46
4,-46,16,-42
4,-26,-6,-46
4,-36,-4,-50
4,-46,0,-48
4,-54,4,-40
4,-32,-16,-36
4,-42,-16,-42
4,-52,-12,-44
4,-58,-6,-36
4,-36,-26,-30
4,-46,-24,-34
4,-56,-22,-36
4,-64,-18,-32
4,-26,-36,-22
4,-36,-36,-30
4,-48,-34,-30
4,-58,-32,-30
4,-66,-28,-28
4,-32,-58,-20
4,-42,-52,-26
4,-54,-40,-30
4,-64,-32,-28
4,-70,-26,-24
5,-28,-2,-48
5,-38,2,-50
5,-48,8,-46
5,-36,-10,-48
5,-46,-4,-50
5,-54,0,-44
5,-26,-26,-30
5,-34,-20,-36
5,-42,-16,-40
5,-52,-12,-44
5,-60,-8,-40
5,-32,-36,-28
5,-40,-30,-30
5,-48,-24,-32
5,-56,-20,-36
5,-64,-16,-34
6,62,-20,-34
6,38,-14,-44
6,22,2,-40
6,20,10,-34
6,30,-8,-44
6,50,-20,-40
7,-24,-4,-46
7,-34,-4,-50
7,-42,2,-50
7,-28,-16,-40
7,-38,-14,-46
7,-46,-8,-48
7,-30,-24,-36
7,-40,-20,-38
7,-50,-16,-42
7,-24,-28,-24
7,-34,-30,-28
7,-44,-28,-32
7,-54,-22,-36
7,-40,-48,-26
7,-46,-40,-30
7,-52,-30,-32
7,-28,-74,-20
7,-38,-66,-22
7,-46,-56,-26
7,-54,-48,-30
7,-58,-38,-30
8,46,-12,-46
8,54,-8,-46
8,58,-2,-40
8,18,-20,-30
8,28,-22,-34
8,38,-20,-36
8,48,-18,-38
8,58,-16,-40
8,22,-32,-24
8,32,-32,-30
8,42,-30,-32
8,52,-26,-32
8,62,-24,-32
8,24,-40,-20
8,34,-42,-26
8,46,-40,-30
8,56,-36,-30
8,64,-34,-24
8,24,-50,-16
8,34,-50,-24
8,46,-50,-26
8,58,-46,-26
8,66,-46,-20
9,-22,0,-44
9,-28,-4,-48
9,-36,-6,-50
9,-46,-6,-48
9,-54,-4,-42
9,-20,-8,-38
9,-28,-12,-44
9,-36,-14,-44
9,-46,-12,-42
9,-56,-12,-40
9,-20,-14,-34
9,-26,-18,-36
9,-36,-20,-36
9,-46,-22,-36
9,-56,-22,-36
9,-18,-20,-28
9,-26,-24,-30
9,-36,-28,-30
9,-56,-28,-30
9,-20,-46,-16
9,-30,-46,-24
9,-32,-54,-20
9,-42,-42,-28
9,-52,-38,-30
9,-22,-56,-16
9,-44,-52,-26
9,-54,-46,-28
9,-38,-62,-22
9,-48,-60,-24
9,-58,-56,-24
9,-64,-52,-20
10,-24,-12,-38
10,-34,-14,-46
10,-44,-8,-48
10,-54,-2,-44
10,-32,-24,-34
10,-40,-20,-38
10,-48,-14,-44
10,-60,-6,-38
10,-34,-54,-24
10,-38,-46,-28
10,-44,-38,-32
10,-52,-30,-32
10,-60,-20,-36
10,-64,-12,-34
11,-26,-4,-46
11,-30,2,-50
11,-40,4,-50
11,-52,10,-40
11,-22,-12,-38
11,-32,-12,-46
11,-40,-10,-50
11,-46,-2,-48
11,-52,10,-38
11,-50,-18,-40
11,-56,-12,-38
11,-44,-28,-36
11,-54,-24,-36
11,-60,-18,-34
11,-36,-38,-28
11,-46,-34,-30
11,-56,-30,-32
11,-64,-26,-30
11,-28,-50,-18
11,-38,-48,-24
11,-48,-46,-28
11,-56,-42,-26
11,-64,-36,-28
12,22,2,-50
12,24,14,-48
12,32,24,-42
12,46,24,-34
12,22,-26,-26
12,30,-26,-32
12,44,-28,-32
12,54,-24,-34
12,64,-20,-34
12,26,-16,-36
12,38,-18,-40
12,50,-16,-42
12,60,-10,-42
12,22,-8,-40
12,32,-10,-48
12,44,-10,-48
12,56,-4,-46
12,16,2,-32
12,20,0,-44
12,28,-4,-52
12,40,-2,-52
12,54,4,-46
12,40,-42,-28
12,50,-38,-30
12,60,-32,-30
12,70,-26,-24
13,-34,10,-50
13,-44,20,-42
13,-46,26,-34
13,-44,28,-24
13,-20,-8,-40
13,-32,-2,-52
13,-44,4,-54
13,-50,14,-46
13,-50,20,-34
13,-52,24,-26
13,-28,-12,-50
13,-38,-8,-54
13,-48,-2,-50
13,-58,4,-42
13,-62,8,-28
13,-60,12,-14
13,-32,-20,-42
13,-42,-16,-46
13,-52,-12,-48
13,-60,-4,-40
13,-64,2,-28
13,-28,-30,-30
13,-36,-26,-36
13,-50,-22,-40
13,-64,-14,-36
13,-64,-10,-28
13,-70,-4,-16
13,-64,-2,-4
13,-26,-38,-24
13,-32,-36,-28
13,-42,-34,-34
13,-54,-28,-36
13,-64,-22,-34
13,-68,-18,-26
13,-70,-14,-16
13,-68,-14,-4
14,-44.03,-4.2,-49.2
14,-52.75,-3.31,-44.76
14,-58.36,0.48,-35.78
14,-44.63,-21.99,-35.31
14,-56.73,-14.91,-40.16
14,-63.48,-7.66,-30.34
14,-26.86,-37.69,-23.56
14,-35.2,-35.39,-30.54
14,-48.01,-30.03,-30.45
14,-60.92,-22.05,-33.82
14,-68.13,-18.85,-24.72
14,-27.46,-46.47,-20.67
14,-37.22,-43.3,-27.01
14,-51.75,-38.4,-30.03
14,-64.93,-33.06,-26.89
14,-69.68,-31.17,-18.7
14,-28.65,-54.3,-18.4
14,-40.09,-50.98,-24.93
14,-53.52,-45.9,-30.73
14,-65.77,-43.76,-21.33
14,-70.01,-40.36,-10.68
15,-36,18,-44
15,-42,22,-40
15,-48,20,-34
15,-54,18,-24
15,-26,4,-50
15,-36,6,-50
15,-48,8,-46
15,-54,8,-40
15,-60,6,-28
15,-64,2,-16
15,-64,-2,-6
15,-66,-4,4
15,-30,-8,-50
15,-36,-4,-50
15,-50,0,-48
15,-54,0,-42
15,-64,-4,-30
15,-68,-6,-20
15,-68,-8,-8
15,-68,-12,2
15,-24,-12,-42
15,-32,-14,-46
15,-44,-12,-46
15,-54,-10,-44
15,-60,-8,-36
15,-66,-4,-24
15,-30,-22,-34
15,-36,-20,-40
15,-46,-20,-36
15,-58,-20,-36
15,-68,-18,-26
15,-70,-16,-14
15,-68,-14,-2
15,-22,-30,-26
15,-30,-30,-30
15,-38,-32,-32
15,-46,-32,-30
15,-58,-30,-32
15,-68,-28,-24
15,-72,-26,-14
15,-70,-20,-2
20,NaN,NaN,NaN
20,NaN,NaN,NaN
20,NaN,NaN,NaN
20,NaN,NaN,NaN
20,NaN,NaN,NaN
20,NaN,NaN,NaN
20,NaN,NaN,NaN
20,NaN,NaN,NaN
20,NaN,NaN,NaN
20,NaN,NaN,NaN
21,-28,14,-44
21,-36,14,-46
21,-48,10,-46
21,-58,8,-44
21,-14,-6,-34
21,-20,-6,-44
21,-28,-6,-52
21,-40,-4,-50
21,-52,-2,-50
21,-62,-4,-42
21,-62,-28,-30
21,-72,-18,-22
21,-36,-58,-22
21,-70,-34,-22
21,-76,-24,-14
22,-20,-6,-38
22,-50,14,-42
22,-54,14,-30
22,-30,-16,-36
22,-42,-16,-40
22,-50,-10,-42
22,-54,8,-32
22,-52,16,-24
22,-48,20,-18
22,-24,-24,-26
22,-36,-24,-30
22,-60,-6,-32
22,-60,4,-22
22,-56,10,-16
22,-54,14,-10
